Start Date,End Date,Joy Count,Joy Words,Sadness Count,Sadness Words,Anger Count,Anger Words,Fear Count,Fear Words,Trust Count,Trust Words,Disgust Count,Disgust Words,Surprise Count,Surprise Words,Anticipation Count,Anticipation Words,Sentiment Score,Sentiment Label
wednesday january 13 1943,saturday january 30 1943,6,"money, safe, shopping, cash, food, kind",9,"beg, terrible, interrupted, suffering, miserable, death, conflict, bad, helpless",9,"terrible, money, selfish, miserable, death, cash, fear, conflict, bad",9,"terrible, suffering, death, cash, fear, conflict, war, bad, helpless",9,"fill, school, safe, money, shopping, constantly, cash, food, kind",7,"terrible, bad, selfish, miserable, death, soil, suffering",3,"death, money, shopping",8,"neighborhood, money, wait, shopping, time, death, cash, begun",-11,Highly Negative
saturday january 30 1943,friday february 5 1943,5,"laugh, mother, child, treat, god",10,"ill, nasty, forgotten, mocking, sympathy, leave, treat, impossible, case, cry",11,"rage, derision, ill, nasty, mocking, scream, words, selfish, venomous, contempt, treat",12,"ill, cowardly, nasty, forgotten, scream, shaking, venomous, contempt, treat, suspect, case, god",4,"mother, god, treat, father",9,"derision, ill, nasty, mocking, scream, selfish, venomous, contempt, treat",5,"laugh, scream, leave, suddenly, treat",5,"mother, child, treat, long, god",-28,Highly Negative
friday february 5 1943,saturday february 27 1943,7,"young, laugh, mother, laughing, elegant, entertaining, hilarity",5,"misfortune, danger, unable, quiet, unpleasant",3,"tension, defense, words",5,"misfortune, danger, defense, change, warn",6,"fact, father, mediate, mother, sir, warn",2,"unpleasant, toilet",3,"young, warn, laugh",9,"young, wait, defense, thought, mediate, mother, entertaining, long, warn",7,Positive
saturday february 27 1943,thursday march 4 1943,5,"champion, freedom, good, beautiful, goodness",3,"late, case, unfair",5,"invasion, argument, fight, words, unfair",4,"pneumonia, case, fight, afraid",9,"champion, freedom, episcopal, secret, good, fellow, author, father, goodness",2,"brothel, unfair",3,"good, goodness, guess",5,"expecting, champion, letter, good, goodness",5,Positive
thursday march 4 1943,wednesday march 10 1943,5,"pay, money, good, food, silly",2,"black, sick",5,"bombardment, money, brimstone, ridiculous, words",5,"bombardment, fire, brimstone, afraid, hiding",8,"agreement, pay, money, good, explain, ground, father, food",4,"sneeze, cough, ridiculous, sick",3,"good, sneeze, money",6,"pay, coming, money, thought, good, long",3,Positive
wednesday march 10 1943,friday march 12 1943,6,"comfort, dawn, white, safe, mother, fun",8,"dark, uninvited, worse, awful, fell, impossible, bad, pain",6,"shooting, shock, awful, fear, annoyance, bad",12,"shooting, frightened, ghostly, shock, fire, rat, worse, awful, fear, afraid, bad, pain",7,"comfort, dawn, white, secret, safe, mother, father",4,"rat, awful, annoyance, bad",4,"shock, dawn, frightened, suddenly",8,"comfort, dawn, white, wait, thought, mother, time, fun",-9,Negative
friday march 12 1943,thursday march 18 1943,8,"cheerful, amuse, mother, good, honest, food, emancipation, victor",7,"terrible, worn, shortage, black, honest, hell, sick",6,"terrible, politics, shortage, honest, hell, aggressor",7,"terrible, shortage, honest, hell, hiding, war, aggressor",6,"fact, frank, mother, good, honest, food",4,"terrible, honest, hell, sick",2,"good, cheerful",6,"mother, good, time, ultimately, emancipation, start",-4,Negative
thursday march 18 1943,friday march 19 1943,1,excitement,0,,0,,1,war,0,,0,,1,excitement,1,excitement,1,Positive
friday march 19 1943,thursday march 25 1943,6,"pay, money, compensate, joy, proud, kind",13,"damages, ill, inferior, black, disappoint, rumor, terribly, pathetic, wound, hideous, missing, invalid, lax",4,"disappoint, money, ill, wound",7,"ill, shaking, wound, missing, hiding, war, hideous",10,"pay, show, money, proof, proud, compensate, father, provide, kind, teacher",4,"disappoint, hideous, ill, pathetic",2,"money, compensate",9,"pay, correspondence, money, coming, thought, time, compensate, proud, long",-3,Negative
thursday march 25 1943,saturday march 27 1943,8,"excitement, pleasant, white, safe, laugh, mother, finally, found",5,"danger, falling, problem, quiet, mistake",4,"tension, words, kicking, armed",11,"suspense, danger, burglar, forced, problem, armed, nervous, jeopardy, cautiously, police, warn",13,"agreed, account, pleasant, white, fact, safe, mother, finally, found, father, police, expect, warn",5,"excrement, burglar, cough, finally, toilet",9,"suspense, excitement, pleasant, laugh, finally, incident, suddenly, expect, warn",15,"suspense, excitement, pleasant, importance, white, immediately, thought, mother, finally, time, nervous, begun, jeopardy, expect, warn",11,Highly Positive
